panel_hgnc_id,panel_id,hgnc_id
960,1,HGNC:2345
961,1,HGNC:18856
962,1,HGNC:23720
963,1,HGNC:18855
964,1,HGNC:2348
965,1,HGNC:14630
966,1,HGNC:14312
967,1,HGNC:2364
968,1,HGNC:16148
969,1,HGNC:37276
970,1,HGNC:2379
971,1,HGNC:16062
972,1,HGNC:2383
973,1,HGNC:2384
974,1,HGNC:2388
975,1,HGNC:2389
976,1,HGNC:2394
977,1,HGNC:2396
978,1,HGNC:2397
979,1,HGNC:2398
980,1,HGNC:2400
981,1,HGNC:2409
982,1,HGNC:2410
983,1,HGNC:2411
984,1,HGNC:2417
985,1,HGNC:2418
986,1,HGNC:29905
987,1,HGNC:2433
988,1,HGNC:2435
989,1,HGNC:2436
990,1,HGNC:2439
991,1,HGNC:24290
992,1,HGNC:2452
993,1,HGNC:2454
994,1,HGNC:2457
995,1,HGNC:2460
996,1,HGNC:26193
997,1,HGNC:2472
998,1,HGNC:2475
999,1,HGNC:2481
1000,1,HGNC:2482
1001,1,HGNC:2494
1002,1,HGNC:26169
1003,1,HGNC:13723
1004,1,HGNC:2498
1005,1,HGNC:2501
1006,1,HGNC:18831
1007,1,HGNC:2505
1008,1,HGNC:2509
1009,1,HGNC:2510
1010,1,HGNC:2511
1011,1,HGNC:2514
1012,1,HGNC:2515
1013,1,HGNC:2516
1014,1,HGNC:2518
1015,1,HGNC:2519
1016,1,HGNC:16850
1017,1,HGNC:2523
1018,1,HGNC:9251
1019,1,HGNC:2528
1020,1,HGNC:2529
1021,1,HGNC:2531
1022,1,HGNC:2536
1023,1,HGNC:28005
1024,1,HGNC:2548
1025,1,HGNC:2553
1026,1,HGNC:2555
1027,1,HGNC:21024
1028,1,HGNC:2557
1029,1,HGNC:19347
1030,1,HGNC:10664
1031,1,HGNC:25613
1032,1,HGNC:10637
1033,1,HGNC:6025
1034,1,HGNC:7098
1035,1,HGNC:6026
1036,1,HGNC:6027
1037,1,HGNC:2561
1038,1,HGNC:16647
1039,1,HGNC:2571
1040,1,HGNC:2570
1041,1,HGNC:2873
1042,1,HGNC:2577
1043,1,HGNC:2578
1044,1,HGNC:28672
1045,1,HGNC:20797
1046,1,HGNC:2579
1047,1,HGNC:19986
1048,1,HGNC:13760
1049,1,HGNC:2584
1050,1,HGNC:2590
1051,1,HGNC:2591
1052,1,HGNC:2592
1053,1,HGNC:2593
1054,1,HGNC:2594
1055,1,HGNC:2597
1056,1,HGNC:2600
1057,1,HGNC:2602
1058,1,HGNC:20581
1059,1,HGNC:20577
1060,1,HGNC:2605
1061,1,HGNC:2606
1062,1,HGNC:2610
1063,1,HGNC:2615
1064,1,HGNC:2621
1065,1,HGNC:2623
1066,1,HGNC:2625
1067,1,HGNC:20580
1068,1,HGNC:20582
1069,1,HGNC:2637
1070,1,HGNC:2638
1071,1,HGNC:26820
1072,1,HGNC:23198
1073,1,HGNC:2649
1074,1,HGNC:2651
1075,1,HGNC:2652
1076,1,HGNC:28358
1077,1,HGNC:18143
1078,1,HGNC:2661
1079,1,HGNC:17748
1080,1,HGNC:2666
1081,1,HGNC:1165
1082,1,HGNC:2671
1083,1,HGNC:2678
1084,1,HGNC:25538
1085,1,HGNC:26383
1086,1,HGNC:2681
1087,1,HGNC:2689
1088,1,HGNC:15594
1089,1,HGNC:2698
1090,1,HGNC:25784
1091,1,HGNC:2701
1092,1,HGNC:18141
1093,1,HGNC:13681
1094,1,HGNC:17641
1095,1,HGNC:17642
